Link;Address;Neighbor;Area;Type;Rooms;Bathrooms;Parking;Price
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-130m2-venda-RS271870-id-2682748864/;Rua Terezina, 100 - Centro, Londrina - PR; Centro;130;Apartamento;3;2;1;271870
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-83m2-venda-RS330000-id-2626264662/;Centro, Londrina - PR;Centro;83;Apartamento;3;2;1;330000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-68m2-venda-RS325000-id-2674611575/;Rua Uruguai - Centro, Londrina - PR; Centro;68;Apartamento;2;2;1;325000
https://www.vivareal.com.br/imovel/casa-3-quartos-ideal-bairros-londrina-com-garagem-180m2-venda-RS300000-id-2639478223/;Rua Ubirajara - Ideal, Londrina - PR; Ideal;180;Casa;3;2;4;300000
https://www.vivareal.com.br/imovel/casa-2-quartos-vila-nova-bairros-londrina-com-garagem-90m2-venda-RS240000-id-2646824407/;Rua Grajaú, 45 - Vila Nova, Londrina - PR; Vila Nova;90;Casa;2;2;3;240000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-74m2-venda-RS297000-id-2671361600/;Centro, Londrina - PR;Centro;74;Apartamento;3;2;1;297000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS240000-id-2641151928/;Rua São Jerônimo, 177 - Centro, Londrina - PR; Centro;63;Apartamento;3;2;1;240000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-40m2-venda-RS159000-id-2565943186/;Rua Niterói - Centro, Londrina - PR; Centro;40;Apartamento;2;1;1;159000
https://www.vivareal.com.br/imovel/casa-3-quartos-jardim-guararapes-bairros-londrina-com-garagem-112m2-venda-RS270000-id-2682431092/;Rua Ermilino Nonino, 1500 - Jardim Guararapes, Londrina - PR; Jardim Guararapes;112;Casa;3;1;2;270000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-72m2-venda-RS340000-id-2601100264/;Rua Senador Souza Naves - Centro, Londrina - PR; Centro;72;Apartamento;3;3;1;340000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-ipiranga-bairros-londrina-com-garagem-38m2-venda-RS175000-id-2558562641/;Rua Uruguai, 1378 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;38;Apartamento;1;1;1;175000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipiranga-bairros-londrina-com-garagem-69m2-venda-RS270000-id-2554043399/;Rua Borba Gato - Vila Ipiranga, Londrina - PR; Vila Ipiranga;69;Apartamento;2;2;1;270000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS189000-id-2656116261/;Centro, Londrina - PR;Centro;64;Apartamento;3;2;1;189000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS295000-id-2682868781/;Rua Piauí, 61 - Centro, Londrina - PR; Centro;63;Apartamento;2;2;1;295000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS269000-id-2682434377/;Rua Pio XII, 856 - Centro, Londrina - PR; Centro;64;Apartamento;2;2;1;269000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-34m2-venda-RS200000-id-2541574907/;Centro, Londrina - PR;Centro;34;Apartamento;1;1;1;200000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ipiranga-bairros-londrina-com-garagem-83m2-venda-RS278000-id-2603456006/;Rua Paes Leme, 64 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;83;Apartamento;3;3;2;278000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ipiranga-bairros-londrina-com-garagem-64m2-venda-RS270000-id-2681008219/;Rua Borba Gato, 50 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;64;Apartamento;3;1;1;270000
https://www.vivareal.com.br/imovel/casa-3-quartos-recreio-bairros-londrina-74m2-venda-RS270000-id-2568558111/;Rua Henrique de Oliveira Camargo, 239 - Recreio, Londrina - PR; Recreio;74;Casa;3;2;;270000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-36m2-venda-RS170000-id-2661244504/;Rua Fernando de Noronha, 761 - Centro, Londrina - PR; Centro;36;Apartamento;1;1;1;170000
https://www.vivareal.com.br/imovel/casa-2-quartos-ideal-bairros-londrina-125m2-venda-RS215000-id-2682433197/;Rua Diamante, 44 - Ideal, Londrina - PR; Ideal;125;Casa;2;1;;215000
https://www.vivareal.com.br/imovel/casa-3-quartos-aeroporto-bairros-londrina-com-garagem-70m2-venda-RS315000-id-2647957092/;Rua Augusto Severo, 533 - Aeroporto, Londrina - PR; Aeroporto;70;Casa;3;2;1;315000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-59m2-venda-RS235000-id-2682967992/;Centro, Londrina - PR;Centro;59;Apartamento;2;1;1;235000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-62m2-venda-RS330000-id-2663056354/;Centro, Londrina - PR;Centro;62;Apartamento;2;2;1;330000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-50m2-venda-RS210000-id-2568057819/;Rua Amapá - Centro, Londrina - PR; Centro;50;Apartamento;2;2;1;210000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-brasil-bairros-londrina-com-garagem-67m2-venda-RS280000-id-2662112381/;Rua Paes Leme, 11 - Vila Brasil, Londrina - PR; Vila Brasil;67;Apartamento;2;2;1;280000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipiranga-bairros-londrina-com-garagem-53m2-venda-RS290000-id-2645334170/;Rua Paes Leme, 63 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;53;Apartamento;2;2;1;290000
https://www.vivareal.com.br/imovel/casa-2-quartos-aeroporto-bairros-londrina-com-garagem-48m2-venda-RS219000-id-2651921864/;Rua Dom Fernando, 1 - Aeroporto, Londrina - PR; Aeroporto;48;Casa;2;1;2;219000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS270000-id-2578472237/;Avenida São Paulo - Centro, Londrina - PR; Centro;63;Apartamento;2;2;1;270000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipiranga-bairros-londrina-com-garagem-63m2-venda-RS230000-id-2681416893/;Vila Ipiranga, Londrina - PR;Vila Ipiranga;63;Apartamento;2;1;1;230000
https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-londrina-com-garagem-80m2-venda-RS300000-id-2544310565/;Rua Piauí, 191 - Centro, Londrina - PR; Centro;80;Apartamento;4;3;1;300000
